gender,event,medal,type,year,country,abb,athlete
Women,100 m D1,Gold,Athletics,1980,Jamaica,JAM,NEWLAND Sarah
Women,100 m E,Gold,Athletics,1980,Great Britain,GBR,JOSCELYNE Barbara
Women,100 m F,Gold,Athletics,1980,Japan,JPN,NOBUMOTO Hiromi
Women,100 m F1,Gold,Athletics,1980,Canada,CAN,COLE Giselle
Women,200 m 2,Gold,Athletics,1980,Kuwait,KUW,AL-ROMI Adelah
Women,200 m 3,Gold,Athletics,1980,United States of America,USA,CABLE Candace
Women,400 m A,Gold,Athletics,1980,United States of America,USA,KELLER Lou
Women,400 m B,Gold,Athletics,1980,FR Germany,FRG,SCHAFHAUSEN I.
Women,400 m C1,Gold,Athletics,1980,Poland,POL,KOZLAK Danuta
Women,400 m CP C,Gold,Athletics,1980,France,FRA,ONFROY
Women,400 m CP D,Gold,Athletics,1980,France,FRA,DOSIMONT D.
Women,400 m D,Gold,Athletics,1980,United States of America,USA,KIRBY R.
Women,400 m E,Gold,Athletics,1980,Great Britain,GBR,JOSCELYNE Barbara
Women,400 m F1,Gold,Athletics,1980,Canada,CAN,COLE Giselle
Women,400 m 2,Gold,Athletics,1980,United States of America,USA,LYFORD Glee
Women,400 m 3,Gold,Athletics,1980,United States of America,USA,CABLE Candace
Women,400 m D1 runners,Gold,Athletics,1980,Poland,POL,WIECZOREK Alina
Women,400 m D1 wheelchairs,Gold,Athletics,1980,Poland,POL,BEDLA Barbara
Women,800 m A,Gold,Athletics,1980,FR Germany,FRG,WITTJE Susanne
Women,800 m B,Gold,Athletics,1980,FR Germany,FRG,SCHAFHAUSEN I.
Women,800 m 4,Gold,Athletics,1980,United States of America,USA,RAHN Sharon
Women,800 m 5,Gold,Athletics,1980,Mexico,MEX,SOTO Juana
Women,1500 m F1,Gold,Athletics,1980,FR Germany,FRG,SCHAD Petra
Women,1500 m 4,Gold,Athletics,1980,United States of America,USA,RAHN Sharon
Women,1500 m 5,Gold,Athletics,1980,Mexico,MEX,SOTO Juana
Women,3000 m Walk A,Gold,Athletics,1980,Canada,CAN,HURD Cheryl
Women,Slalom 1A,Gold,Athletics,1980,United States of America,USA,DONALDSON Karen
Women,Slalom 1B,Gold,Athletics,1980,United States of America,USA,PATTON C.
Women,Slalom 1C,Gold,Athletics,1980,Italy,ITA,BOREGGIO Gabriella
Women,Slalom 2,Gold,Athletics,1980,New Zealand,NZL,HILL Patricia
Women,Slalom 3,Gold,Athletics,1980,United States of America,USA,QUINLAN Darleen
Women,Slalom 4,Gold,Athletics,1980,FR Germany,FRG,ECKERT B.
Women,Slalom 5,Gold,Athletics,1980,Canada,CAN,MCDONALD J.
Women,High Jump A,Gold,Athletics,1980,Netherlands,NED,VAN RIJSWIJK Joke
